size,naive_time,better_time,blas_time
25,0.000056970,0.000022392,0.000046812
25,0.000053679,0.000021344,0.000057424
25,0.000053732,0.000021384,0.000044209
25,0.000053775,0.000021382,0.000043909
25,0.000053676,0.000021341,0.000043843
25,0.000053721,0.000021321,0.000043892
25,0.000053644,0.000021355,0.000043831
25,0.000053683,0.000021321,0.000043821
25,0.000053701,0.000025211,0.000013029
25,0.000015892,0.000006304,0.000013024
50,0.000155141,0.000059133,0.000098150
50,0.000132480,0.000052395,0.000097510
50,0.000132493,0.000052363,0.000106889
50,0.000132277,0.000052406,0.000097536
50,0.000132276,0.000052370,0.000097486
50,0.000136327,0.000052410,0.000097669
50,0.000132295,0.000052386,0.000097485
50,0.000132281,0.000052372,0.000097475
50,0.000132278,0.000052407,0.000097546
50,0.000132273,0.000052374,0.000097500
75,0.000528629,0.000161791,0.000377026
75,0.000565921,0.000169796,0.000375139
75,0.000534299,0.000161686,0.000369372
75,0.000528487,0.000159793,0.000395976
75,0.000531117,0.000165386,0.000369879
75,0.000533864,0.000165600,0.000372873
75,0.000547238,0.000160051,0.000396877
75,0.000528165,0.000166247,0.000368974
75,0.000512904,0.000154087,0.000356277
75,0.000511836,0.000154068,0.000361153
100,0.001274585,0.000385210,0.000796735
100,0.001272481,0.000414112,0.000775070
100,0.001243817,0.000355012,0.000773947
100,0.001187483,0.000365073,0.000786727
100,0.001165615,0.000336062,0.000702724
100,0.001126115,0.000336168,0.000684617
100,0.001082987,0.000338262,0.000709329
100,0.001093593,0.000353778,0.000804732
100,0.001071369,0.000308500,0.000691066
100,0.001053958,0.000465500,0.001194977
125,0.002271128,0.000628619,0.001294307
125,0.002605196,0.000657500,0.001274554
125,0.002161932,0.000593583,0.001261065
125,0.002308118,0.000636685,0.001288059
125,0.002128954,0.000630012,0.001266462
125,0.002128402,0.000591918,0.001226058
125,0.002054286,0.000591637,0.001328237
125,0.002055019,0.000592479,0.001275858
125,0.002092873,0.000593067,0.001227448
125,0.002056130,0.000592515,0.001224940
150,0.003586258,0.001127847,0.002136760
150,0.004206046,0.001278212,0.002356384
150,0.003842344,0.001166119,0.002414841
150,0.004166103,0.001165019,0.002293493
150,0.003871064,0.001128943,0.002128491
150,0.003584948,0.001128724,0.002124014
150,0.003585182,0.001125184,0.002158992
150,0.003583464,0.001128324,0.002134268
150,0.003593986,0.001127748,0.002131087
150,0.003583952,0.001132405,0.002127036
175,0.006009406,0.001792578,0.004024270
175,0.006212890,0.001948036,0.003496801
175,0.006207285,0.001864332,0.003545910
175,0.005824973,0.001786191,0.003330840
175,0.005878599,0.002029296,0.003543281
175,0.006005032,0.001782817,0.003316740
175,0.005868115,0.001784881,0.003383764
175,0.005830809,0.001783832,0.003321977
175,0.005822697,0.001783046,0.003325246
175,0.006104188,0.001784053,0.003335956
200,0.008961693,0.003234234,0.005294333
200,0.009550285,0.002854341,0.005184516
200,0.008881997,0.002618817,0.004961851
200,0.008886791,0.002618525,0.004970359
200,0.008873220,0.002624427,0.004976704
200,0.008882688,0.002621615,0.004953931
200,0.008874555,0.002618356,0.004956866
200,0.008873480,0.002628586,0.005188639
200,0.009209849,0.002617452,0.005075205
200,0.008875938,0.002622525,0.004953419
225,0.013604525,0.003872512,0.007372617
225,0.013596599,0.003701210,0.007307432
225,0.013081360,0.003855971,0.007107156
225,0.012972614,0.003705188,0.007063721
225,0.013425837,0.003863476,0.007259168
225,0.012782455,0.003703011,0.007017371
225,0.012910894,0.003709389,0.007330962
225,0.013585292,0.003957343,0.007091513
225,0.012758228,0.003753671,0.007032542
225,0.012903747,0.003745184,0.007054793
250,0.019046840,0.005821830,0.010948567
250,0.018494328,0.005409017,0.009999060
250,0.017374261,0.005097859,0.009690362
250,0.017913345,0.005187749,0.009608979
250,0.017451930,0.005099460,0.009601153
250,0.017408463,0.005814238,0.009766569
250,0.017806714,0.005125914,0.009664593
250,0.017366768,0.005095263,0.009635579
250,0.017645126,0.005182569,0.009641771
250,0.017615602,0.005104973,0.009626774
275,0.025611170,0.007432673,0.013161767
275,0.023505036,0.006960482,0.012725964
275,0.024121776,0.006709270,0.013195065
275,0.023326015,0.006710481,0.012936805
275,0.029241668,0.008101189,0.015634579
275,0.027543813,0.007408348,0.015983291
275,0.028259737,0.007996987,0.016407045
275,0.025320605,0.007030276,0.019191881
275,0.023284458,0.006737430,0.013257633
275,0.023466608,0.006741948,0.013262340
300,0.036052830,0.010269959,0.017700619
300,0.036502868,0.011211267,0.018923318
300,0.038735530,0.010573073,0.020753116
300,0.035679684,0.011216844,0.019471466
300,0.033155892,0.009093269,0.018486363
300,0.031978370,0.009676647,0.017257246
300,0.032419171,0.010288231,0.018834201
300,0.036523010,0.011319295,0.018914903
300,0.035419618,0.009792462,0.020386260
300,0.036751045,0.010324712,0.019687095
325,0.048776405,0.013366413,0.027455394
325,0.042787720,0.011178798,0.021326108
325,0.039668958,0.012157478,0.022241206
325,0.044289797,0.012815157,0.022796423
325,0.039588346,0.011042032,0.021079473
325,0.039562978,0.010998650,0.021417850
325,0.039547439,0.011036710,0.024375420
325,0.040232581,0.011324306,0.021928218
325,0.043951026,0.012006469,0.021960673
325,0.041553852,0.011279140,0.024025453
350,0.058841282,0.015191724,0.030596253
350,0.054941591,0.015154701,0.030318339
350,0.055732111,0.014880423,0.029858261
350,0.053506218,0.013920883,0.026419192
350,0.050217258,0.013764471,0.027342434
350,0.050551164,0.013788152,0.026238673
350,0.049784002,0.013854599,0.026140975
350,0.049846873,0.014936463,0.026601671
350,0.051113145,0.013895255,0.026943243
350,0.050516294,0.013879780,0.026895309
375,0.064657854,0.016864759,0.034251624
375,0.060289786,0.017342481,0.032882707
375,0.061215138,0.017802918,0.032321600
375,0.060427379,0.016794950,0.032196469
375,0.060552539,0.016796476,0.032106813
375,0.061908099,0.016855543,0.033332991
375,0.060927513,0.016902070,0.034286109
375,0.062478237,0.016860619,0.032737635
375,0.060306934,0.017744788,0.032939800
375,0.060542535,0.017117195,0.032629063
